Index,g,spring_constant,moment_of_inertia,cup_mass,ball_mass,axle_distance,bungee_length_no_load,height_offset,pin_elevation,bungee_position,cup_elevation,firing_angle,release_angle,delta_g,delta_spring_constant,delta_moment_of_inertia,delta_cup_mass,delta_ball_mass,delta_axle_distance,delta_bungee_length_no_load,delta_height_offset,delta_pin_elevation,delta_bungee_position,delta_cup_elevation,delta_firing_angle,delta_release_angle,lateral_deviation_angle
1,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
2,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
3,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.23E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
4,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
5,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
6,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
7,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
8,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
9,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
10,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
11,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
12,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
13,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
14,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
15,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
16,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
17,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
18,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
19,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
20,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
21,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.23E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
22,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
23,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
24,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
25,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
26,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
27,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
28,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
29,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
30,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
31,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
32,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
33,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
34,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
35,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
36,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
37,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
38,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
39,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
40,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
41,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
42,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
43,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
44,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
45,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
46,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
47,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
